Compress	Compactar
Task #{task_id} moved to the front of the queue.	Tarefa #{task_id} movida para o início da fila.
Task #{task_id} queued again.	Tarefa #{task_id} colocada na fila novamente.
Task #{task_id} removed.	Tarefa #{task_id} removida.
Task #{task_id} was canceled.	A tarefa #{task_id} foi cancelada.
Task #{task_id} will run next.	A tarefa #{task_id} será executada em seguida.
7Z can also encrypt file names when the checkbox is enabled.	O 7Z também pode criptografar nomes de arquivos quando a caixa estiver marcada.
Adaptive solid batching for compressible files	Agrupamento sólido adaptativo para arquivos compressíveis
Adjust language and appearance preferences for the FastZIP desktop app.	Ajuste o idioma e a aparência do aplicativo de desktop FastZIP.
All dropped local paths will be added as compression sources	Todos os caminhos locais soltos serão adicionados como fontes de compressão
BZip2 (parallel file workers)	BZip2 (workers de arquivo paralelos)
Choose an output folder first.	Escolha primeiro uma pasta de saída.
Choose the archive output path first.	Escolha primeiro o caminho de saída do arquivo.
Compression and extraction jobs will appear here after you add them to the queue.	Os trabalhos de compressão e extração aparecerão aqui depois que você os adicionar à fila.
Compression password is empty. Enter a password and confirm it before starting.	A senha de compressão está vazia. Digite uma senha e confirme-a antes de iniciar.
Compression passwords do not match.	As senhas de compressão não correspondem.
Compression source not found: {source_path}	Fonte de compressão não encontrada: {source_path}
Compression worker disconnected unexpectedly.	O processo de compressão foi desconectado inesperadamente.
Currently uses the native LZMA2 preset	Atualmente usa o preset nativo LZMA2
Deflate (parallel file workers)	Deflate (workers de arquivo paralelos)
does not support password encryption in FastZIP.	não oferece suporte à criptografia por senha no FastZIP.
Drop files or folders to compress	Solte arquivos ou pastas para compactar
Drop one archive file to extract	Solte um arquivo compactado para extrair
Engine initialized. Multi-threading enabled.	Motor inicializado. Multithreading ativado.
Enter and confirm a password to enable archive encryption.	Digite e confirme uma senha para ativar a criptografia do arquivo.
Extract drag-and-drop expects exactly one archive file.	O arrastar e soltar para extração exige exatamente um arquivo compactado.
Extract files using their original archive paths	Extraia os arquivos usando seus caminhos originais do arquivo
Failed to create preview folder {preview_root}	Falha ao criar a pasta de visualização {preview_root}
Failed to determine an output path for the selected sources	Não foi possível determinar um caminho de saída para as fontes selecionadas
Failed to enumerate {path}	Falha ao enumerar {path}
Failed to open {path}	Falha ao abrir {path}
Failed to open output directory for task #{task_id}.	Não foi possível abrir a pasta de saída da tarefa #{task_id}.
Failed to open output directory for task #{task_id}: {error}	Não foi possível abrir a pasta de saída da tarefa #{task_id}: {error}
Failed to read an entry in {path}	Falha ao ler uma entrada em {path}
Failed to read metadata for {path}	Falha ao ler os metadados de {path}
Fixed by Deflate (32 KB)	Fixo por Deflate (32 KB)
Hide archive contents in 7Z headers	Ocultar o conteúdo do arquivo nos cabeçalhos 7Z
Import an archive to browse its contents before extraction.	Importe um arquivo para navegar pelo conteúdo antes da extração.
Invalid extract drop: {path} is not a supported archive file.	Soltura de extração inválida: {path} não é um arquivo compatível.
Invalid selection. Please choose an archive file again.	Seleção inválida. Escolha um arquivo novamente.
Invalid selection. Please choose one archive file again.	Seleção inválida. Escolha apenas um arquivo novamente.
Leave empty, or use 10M / 700M / 4G	Deixe vazio ou use 10M / 700M / 4G
Managed internally by the selected codec	Gerenciado internamente pelo codec selecionado
Missing preview cache for {archive_path}	Cache de visualização ausente para {archive_path}
No valid files were dropped.	Nenhum arquivo válido foi solto.
Not configurable in the current backend	Não configurável no backend atual
Not exposed for TAR-based formats	Não disponível para formatos baseados em TAR
Not used for Store mode	Não usado no modo Store
Only 7Z archives support encrypted file names.	Apenas arquivos 7Z oferecem suporte a nomes de arquivos criptografados.
Only one supported archive file can be used at a time	Apenas um arquivo compatível pode ser usado por vez
Opened output directory for task #{task_id}.	Pasta de saída aberta para a tarefa #{task_id}.
Output folder selection was canceled.	A seleção da pasta de saída foi cancelada.
Output path selection was canceled.	A seleção do caminho de saída foi cancelada.
Password encryption is currently available only for ZIP and 7Z archives.	A criptografia por senha está disponível atualmente apenas para arquivos ZIP e 7Z.
Pick an archive first.	Escolha primeiro um arquivo.
Pick files or folders to compress first.	Escolha primeiro arquivos ou pastas para compactar.
Preview target not found: {target}	Destino da visualização não encontrado: {target}
Refresh contents after changing the password	Atualize o conteúdo após alterar a senha
Runtime events, backend routing, and extraction results.	Eventos de execução, roteamento do backend e resultados da extração.
Scanning {path}	Verificando {path}
Select files or folders to inspect archive contents before compression.	Selecione arquivos ou pastas para inspecionar o conteúdo antes da compressão.
Selected archive output: {output_path}	Saída de arquivo selecionada: {output_path}
Selected output folder: {output_dir}	Pasta de saída selecionada: {output_dir}
Solid block mode is not available for the current formats	O modo de bloco sólido não está disponível para os formatos atuais
Store (direct write)	Store (gravação direta)
System open command failed for {path}	O comando do sistema para abrir {path} falhou
System preview is not supported on this platform	A visualização do sistema não é compatível com esta plataforma
This task is already next in queue.	Esta tarefa já é a próxima da fila.
Use the darker glass palette inspired by the new dashboard reference.	Use a paleta de vidro mais escura inspirada na nova referência do painel.
Use this password for encrypted ZIP and 7Z archives. If preview fails first, enter the password here and refresh.	Use esta senha para arquivos ZIP e 7Z criptografados. Se a visualização falhar primeiro, insira a senha aqui e atualize.
Very low (< 8 MB, direct write)	Muito baixo (< 8 MB, gravação direta)
XZ (limited parallel workers)	XZ (workers paralelos limitados)
ZIP only encrypts file data. Archive contents can still be listed by name, but extracting file data requires the password.	ZIP criptografa apenas os dados do arquivo. O conteúdo do arquivo ainda pode ser listado pelo nome, mas extrair os dados requer a senha.
Zstandard (parallel file workers)	Zstandard (workers de arquivo paralelos)
Archive drop failed: {error}	Falha ao soltar o arquivo: {error}
Archive not found: {archive_path}	Arquivo não encontrado: {archive_path}
Ask before overwrite	Perguntar antes de substituir
Resolve File Conflicts	Resolver conflitos de arquivos
Conflict {current} of {total}	Conflito {current} de {total}
Archive Entry	Entrada do arquivo
Existing Path	Caminho existente
New File Name	Novo nome do arquivo
Apply this action to all remaining conflicts	Aplicar esta ação a todos os conflitos restantes
Overwrite	Substituir
Skip	Pular
Rename	Renomear
Overwrite cannot replace a folder destination.	A sobrescrita não pode substituir uma pasta de destino.
Conflict resolution canceled.	A resolução de conflitos foi cancelada.
The new file name cannot be empty.	O novo nome do arquivo não pode ficar vazio.
Enter a file name only, not a folder path.	Informe apenas um nome de arquivo, não um caminho de pasta.
The selected rename target already exists.	O destino de renomeação selecionado já existe.
The selected rename target is already reserved by another extracted file.	O destino de renomeação selecionado já está reservado por outro arquivo extraído.
Failed to inspect extraction conflicts: {error}	Falha ao verificar conflitos de extração: {error}
Start with Windows	Iniciar com o Windows
Launch FastZIP automatically when you sign in to Windows.	Iniciar o FastZIP automaticamente quando você entrar no Windows.
Enabled	Ativado
Disabled	Desativado
Autostart enabled.	Inicialização automática ativada.
Autostart disabled.	Inicialização automática desativada.
Failed to update autostart: {error}	Falha ao atualizar a inicialização automática: {error}
File Manager	Gerenciador de arquivos
Current Path	Caminho atual
The current folder is empty.	A pasta atual está vazia.
Folder path not found: {path}	Caminho da pasta não encontrado: {path}
The selected path is not a folder: {path}	O caminho selecionado não é uma pasta: {path}
Failed to open path: {error}	Falha ao abrir o caminho: {error}
No files or folders are selected in the file manager.	Nenhum arquivo ou pasta selecionado no gerenciador de arquivos.
View Selected Files	Ver arquivos selecionados
Selected Files	Arquivos selecionados
