Compress	Comprimir
7Z can also encrypt file names when the checkbox is enabled.	7Z también puede cifrar nombres de archivos cuando la casilla está activada.
Adaptive solid batching for compressible files	Agrupación sólida adaptativa para archivos compresibles
Adjust language and appearance preferences for the FastZIP desktop app.	Ajusta el idioma y la apariencia de la aplicación de escritorio FastZIP.
All dropped local paths will be added as compression sources	Todas las rutas locales soltadas se añadirán como fuentes de compresión
BZip2 (parallel file workers)	BZip2 (trabajadores de archivos en paralelo)
Choose an output folder first.	Primero elige una carpeta de salida.
Choose the archive output path first.	Primero elige la ruta de salida del archivo.
Compression and extraction jobs will appear here after you add them to the queue.	Los trabajos de compresión y extracción aparecerán aquí después de añadirlos a la cola.
Compression password is empty. Enter a password and confirm it before starting.	La contraseña de compresión está vacía. Introdúcela y confírmala antes de comenzar.
Compression passwords do not match.	Las contraseñas de compresión no coinciden.
Compression source not found: {source_path}	No se encontró el origen de compresión: {source_path}
Compression worker disconnected unexpectedly.	El proceso de compresión se desconectó inesperadamente.
Currently uses the native LZMA2 preset	Actualmente usa el ajuste nativo de LZMA2
Deflate (parallel file workers)	Deflate (trabajadores de archivos en paralelo)
does not support password encryption in FastZIP.	no admite cifrado con contraseña en FastZIP.
Drop files or folders to compress	Suelta archivos o carpetas para comprimir
Drop one archive file to extract	Suelta un archivo comprimido para extraer
Engine initialized. Multi-threading enabled.	Motor inicializado. Multihilo habilitado.
Enter and confirm a password to enable archive encryption.	Introduce y confirma una contraseña para habilitar el cifrado del archivo.
Extract drag-and-drop expects exactly one archive file.	El arrastre para extraer requiere exactamente un archivo comprimido.
Extract files using their original archive paths	Extraer archivos usando sus rutas originales del archivo
Failed to create preview folder {preview_root}	No se pudo crear la carpeta de vista previa {preview_root}
Failed to determine an output path for the selected sources	No se pudo determinar una ruta de salida para los orígenes seleccionados
Failed to enumerate {path}	No se pudo enumerar {path}
Failed to open {path}	No se pudo abrir {path}
Failed to open output directory for task #{task_id}.	No se pudo abrir la carpeta de salida de la tarea #{task_id}.
Failed to open output directory for task #{task_id}: {error}	No se pudo abrir la carpeta de salida de la tarea #{task_id}: {error}
Failed to read an entry in {path}	No se pudo leer una entrada en {path}
Failed to read metadata for {path}	No se pudieron leer los metadatos de {path}
Fixed by Deflate (32 KB)	Fijado por Deflate (32 KB)
Hide archive contents in 7Z headers	Ocultar el contenido del archivo en los encabezados 7Z
Import an archive to browse its contents before extraction.	Importa un archivo para explorar su contenido antes de extraerlo.
Invalid extract drop: {path} is not a supported archive file.	Soltado de extracción no válido: {path} no es un archivo comprimido compatible.
Invalid selection. Please choose an archive file again.	Selección no válida. Vuelve a elegir un archivo comprimido.
Invalid selection. Please choose one archive file again.	Selección no válida. Vuelve a elegir un solo archivo comprimido.
Leave empty, or use 10M / 700M / 4G	Déjalo vacío o usa 10M / 700M / 4G
Managed internally by the selected codec	Gestionado internamente por el códec seleccionado
Missing preview cache for {archive_path}	Falta la caché de vista previa para {archive_path}
No valid files were dropped.	No se soltaron archivos válidos.
Not configurable in the current backend	No configurable en el backend actual
Not exposed for TAR-based formats	No disponible para formatos basados en TAR
Not used for Store mode	No se usa en el modo Store
Only 7Z archives support encrypted file names.	Solo los archivos 7Z admiten nombres de archivo cifrados.
Only one supported archive file can be used at a time	Solo se puede usar un archivo comprimido compatible a la vez
Opened output directory for task #{task_id}.	Se abrió la carpeta de salida de la tarea #{task_id}.
Output folder selection was canceled.	Se canceló la selección de la carpeta de salida.
Output path selection was canceled.	Se canceló la selección de la ruta de salida.
Password encryption is currently available only for ZIP and 7Z archives.	El cifrado con contraseña solo está disponible actualmente para archivos ZIP y 7Z.
Pick an archive first.	Primero elige un archivo comprimido.
Pick files or folders to compress first.	Primero elige archivos o carpetas para comprimir.
Preview target not found: {target}	No se encontró el destino de vista previa: {target}
Refresh contents after changing the password	Actualiza el contenido después de cambiar la contraseña
Runtime events, backend routing, and extraction results.	Eventos de ejecución, enrutamiento del backend y resultados de extracción.
Scanning {path}	Analizando {path}
Select files or folders to inspect archive contents before compression.	Selecciona archivos o carpetas para inspeccionar el contenido antes de comprimir.
Selected archive output: {output_path}	Salida de archivo seleccionada: {output_path}
Selected output folder: {output_dir}	Carpeta de salida seleccionada: {output_dir}
Solid block mode is not available for the current formats	El modo de bloque sólido no está disponible para los formatos actuales
Store (direct write)	Store (escritura directa)
System open command failed for {path}	La orden del sistema para abrir {path} falló
System preview is not supported on this platform	La vista previa del sistema no es compatible con esta plataforma
This task is already next in queue.	Esta tarea ya es la siguiente en la cola.
Use the darker glass palette inspired by the new dashboard reference.	Usa la paleta de vidrio más oscura inspirada en la nueva referencia del panel.
Use this password for encrypted ZIP and 7Z archives. If preview fails first, enter the password here and refresh.	Usa esta contraseña para archivos ZIP y 7Z cifrados. Si la vista previa falla primero, introdúcela aquí y actualiza.
Very low (< 8 MB, direct write)	Muy bajo (< 8 MB, escritura directa)
XZ (limited parallel workers)	XZ (trabajadores paralelos limitados)
ZIP only encrypts file data. Archive contents can still be listed by name, but extracting file data requires the password.	ZIP solo cifra los datos del archivo. El contenido aún puede listarse por nombre, pero para extraer los datos se requiere la contraseña.
Zstandard (parallel file workers)	Zstandard (trabajadores de archivos en paralelo)
Archive drop failed: {error}	Error al soltar el archivo: {error}
Archive not found: {archive_path}	No se encontró el archivo: {archive_path}
Ask before overwrite	Preguntar antes de sobrescribir
Resolve File Conflicts	Resolver conflictos de archivos
Conflict {current} of {total}	Conflicto {current} de {total}
Archive Entry	Entrada del archivo
Existing Path	Ruta existente
New File Name	Nuevo nombre de archivo
Apply this action to all remaining conflicts	Aplicar esta acción a todos los conflictos restantes
Overwrite	Sobrescribir
Skip	Omitir
Rename	Renombrar
Overwrite cannot replace a folder destination.	La sobrescritura no puede reemplazar una carpeta de destino.
Conflict resolution canceled.	Se canceló la resolución de conflictos.
The new file name cannot be empty.	El nuevo nombre de archivo no puede estar vacío.
Enter a file name only, not a folder path.	Ingrese solo un nombre de archivo, no una ruta de carpeta.
The selected rename target already exists.	El destino de cambio de nombre seleccionado ya existe.
The selected rename target is already reserved by another extracted file.	El destino de cambio de nombre seleccionado ya está reservado por otro archivo extraído.
Failed to inspect extraction conflicts: {error}	No se pudieron revisar los conflictos de extracción: {error}
Start with Windows	Iniciar con Windows
Launch FastZIP automatically when you sign in to Windows.	Iniciar FastZIP automáticamente cuando inicie sesión en Windows.
Enabled	Activado
Disabled	Desactivado
Autostart enabled.	Inicio automático activado.
Autostart disabled.	Inicio automático desactivado.
Failed to update autostart: {error}	No se pudo actualizar el inicio automático: {error}
File Manager	Administrador de archivos
Current Path	Ruta actual
The current folder is empty.	La carpeta actual está vacía.
Folder path not found: {path}	No se encontró la ruta de la carpeta: {path}
The selected path is not a folder: {path}	La ruta seleccionada no es una carpeta: {path}
Failed to open path: {error}	No se pudo abrir la ruta: {error}
No files or folders are selected in the file manager.	No hay archivos ni carpetas seleccionados en el administrador de archivos.
View Selected Files	Ver archivos seleccionados
Selected Files	Archivos seleccionados
