Compress	圧縮
Compression format switched to {format}.	圧縮形式を {format} に切り替えました。
Compression task #{task_id} completed.	圧縮タスク #{task_id} が完了しました。
Excluded from compression: {path}. {count} item(s) excluded.	圧縮から除外しました: {path}。{count} 個の項目が除外されています。
Extract task #{task_id} added to queue.	解凍タスク #{task_id} をキューに追加しました。
Extraction finished for task #{task_id}: {files} file(s), {dirs} directorie(s).	解凍タスク #{task_id} が完了しました: {files} 個のファイル、{dirs} 個のフォルダー。
Extraction task #{task_id} completed.	解凍タスク #{task_id} が完了しました。
Failed to inspect archive size: {error}	書庫サイズの確認に失敗しました: {error}
Failed to inspect source size: {error}	ソースサイズの確認に失敗しました: {error}
Failed to open {path}: {error}	{path} を開けませんでした: {error}
High (~64 MB+ x {thread_count} threads)	高 (~64 MB+ x {thread_count} スレッド)
High (64 MB+ x up to {thread_count} workers)	高 (64 MB+ x 最大 {thread_count} ワーカー)
Invalid split volume size `{value}`: {error}	分割サイズ `{value}` は無効です: {error}
Loaded {count} archive entries.	{count} 件の書庫項目を読み込みました。
Loaded {count} entries with {backend}.	{backend} で {count} 件の項目を読み込みました。
Low to medium (< 16 MB x {thread_count} workers)	低から中 (< 16 MB x {thread_count} ワーカー)
Medium (~32 MB x up to {thread_count} workers)	中 (~32 MB x 最大 {thread_count} ワーカー)
Medium (32-64 MB x up to {thread_count} workers)	中 (32-64 MB x 最大 {thread_count} ワーカー)
Open failed: {error}	開くのに失敗しました: {error}
Preview failed: {error}	プレビューに失敗しました: {error}
Queued compress task #{task_id}: {format}, {sources} source(s), {excluded} exclusion(s) -> {output_path}	圧縮タスク #{task_id} をキューに追加しました: {format}、{sources} 個のソース、{excluded} 個を除外 -> {output_path}
Queued extract task #{task_id}: {archive_path} -> {output_dir}	解凍タスク #{task_id} をキューに追加しました: {archive_path} -> {output_dir}
Removed compression source: {path}. {count} source(s) remain.	圧縮ソースを削除しました: {path}。残り {count} 個です。
Removed task #{task_id} from the queue.	キューからタスク #{task_id} を削除しました。
Scan failed: {message}	スキャンに失敗しました: {message}
Selected {count} compression source(s).	{count} 個の圧縮ソースを選択しました。
Selected archive: {archive_path}	書庫を選択しました: {archive_path}
Started compress task #{task_id} -> {output_path}	圧縮タスク #{task_id} を開始しました -> {output_path}
Started extract task #{task_id} -> {output_dir}	解凍タスク #{task_id} を開始しました -> {output_dir}
Task #{task_id} canceled.	タスク #{task_id} をキャンセルしました。
Task #{task_id} failed: {message}	タスク #{task_id} は失敗しました: {message}
Task #{task_id} failed.	タスク #{task_id} は失敗しました。
Task #{task_id} moved to the front of the queue.	タスク #{task_id} をキューの先頭に移動しました。
Task #{task_id} queued again.	タスク #{task_id} を再度キューに追加しました。
Task #{task_id} removed.	タスク #{task_id} を削除しました。
Task #{task_id} was canceled.	タスク #{task_id} はキャンセルされました。
Task #{task_id} will run next.	タスク #{task_id} が次に実行されます。
7Z can also encrypt file names when the checkbox is enabled.	チェックを入れると、7Z ではファイル名も暗号化できます。
Adaptive solid batching for compressible files	圧縮しやすいファイル向けの適応型ソリッド分割
Adjust language and appearance preferences for the FastZIP desktop app.	FastZIP デスクトップアプリの言語と表示設定を調整します。
All dropped local paths will be added as compression sources	ドロップしたローカルパスはすべて圧縮元として追加されます
BZip2 (parallel file workers)	BZip2（並列ファイルワーカー）
Choose an output folder first.	先に出力フォルダーを選択してください。
Choose the archive output path first.	先に書庫の出力パスを選択してください。
Compression and extraction jobs will appear here after you add them to the queue.	圧縮と解凍のジョブは、キューに追加するとここに表示されます。
Compression password is empty. Enter a password and confirm it before starting.	圧縮パスワードが空です。開始前にパスワードを入力して確認してください。
Compression passwords do not match.	圧縮パスワードが一致しません。
Compression source not found: {source_path}	圧縮元が見つかりません: {source_path}
Compression worker disconnected unexpectedly.	圧縮ワーカーが予期せず切断されました。
Currently uses the native LZMA2 preset	現在はネイティブの LZMA2 プリセットを使用します
Deflate (parallel file workers)	Deflate（並列ファイルワーカー）
does not support password encryption in FastZIP.	FastZIP ではパスワード暗号化をサポートしていません。
Drop files or folders to compress	圧縮するファイルまたはフォルダーをドロップ
Drop one archive file to extract	解凍する書庫ファイルを 1 つドロップ
Engine initialized. Multi-threading enabled.	エンジンを初期化しました。マルチスレッドを有効にしています。
Enter and confirm a password to enable archive encryption.	書庫の暗号化を有効にするには、パスワードを入力して確認してください。
Extract drag-and-drop expects exactly one archive file.	解凍のドラッグ＆ドロップでは、書庫ファイルを 1 つだけ指定してください。
Extract files using their original archive paths	元の書庫パスを保持してファイルを展開します
Failed to create preview folder {preview_root}	プレビュー用フォルダー {preview_root} を作成できませんでした
Failed to determine an output path for the selected sources	選択した元データの出力パスを判定できませんでした
Failed to enumerate {path}	{path} を列挙できませんでした
Failed to open {path}	{path} を開けませんでした
Failed to open output directory for task #{task_id}.	タスク #{task_id} の出力フォルダーを開けませんでした。
Failed to open output directory for task #{task_id}: {error}	タスク #{task_id} の出力フォルダーを開けませんでした: {error}
Failed to read an entry in {path}	{path} 内のエントリを読み取れませんでした
Failed to read metadata for {path}	{path} のメタデータを読み取れませんでした
Fixed by Deflate (32 KB)	Deflate により固定（32 KB）
Hide archive contents in 7Z headers	7Z ヘッダー内の書庫内容を非表示にする
Import an archive to browse its contents before extraction.	解凍前に内容を閲覧するには、書庫を読み込んでください。
Invalid extract drop: {path} is not a supported archive file.	無効な解凍ドロップ: {path} は対応している書庫ファイルではありません。
Invalid selection. Please choose an archive file again.	選択が無効です。書庫ファイルをもう一度選択してください。
Invalid selection. Please choose one archive file again.	選択が無効です。書庫ファイルを 1 つだけ選び直してください。
Leave empty, or use 10M / 700M / 4G	空欄のままにするか、10M / 700M / 4G を使用してください
Managed internally by the selected codec	選択したコーデックが内部で管理します
Missing preview cache for {archive_path}	{archive_path} のプレビューキャッシュがありません
No valid files were dropped.	有効なファイルがドロップされませんでした。
Not configurable in the current backend	現在のバックエンドでは設定できません
Not exposed for TAR-based formats	TAR 系形式では公開されていません
Not used for Store mode	保存モードでは使用されません
Only 7Z archives support encrypted file names.	暗号化されたファイル名をサポートするのは 7Z 書庫のみです。
Only one supported archive file can be used at a time	一度に使用できる対応書庫ファイルは 1 つだけです
Opened output directory for task #{task_id}.	タスク #{task_id} の出力フォルダーを開きました。
Output folder selection was canceled.	出力フォルダーの選択はキャンセルされました。
Output path selection was canceled.	出力パスの選択はキャンセルされました。
Password encryption is currently available only for ZIP and 7Z archives.	パスワード暗号化は現在 ZIP と 7Z 書庫でのみ利用できます。
Pick an archive first.	先に書庫を選択してください。
Pick files or folders to compress first.	先に圧縮するファイルまたはフォルダーを選択してください。
Preview target not found: {target}	プレビュー対象が見つかりません: {target}
Refresh contents after changing the password	パスワード変更後に内容を再読み込み
Runtime events, backend routing, and extraction results.	実行時イベント、バックエンドルーティング、解凍結果を表示します。
Scanning {path}	{path} をスキャン中
Select files or folders to inspect archive contents before compression.	圧縮前に書庫内容を確認するファイルまたはフォルダーを選択してください。
Selected archive output: {output_path}	選択した書庫出力先: {output_path}
Selected output folder: {output_dir}	選択した出力フォルダー: {output_dir}
Solid block mode is not available for the current formats	現在の形式ではソリッドブロックモードは利用できません
Store (direct write)	Store（直接書き込み）
System open command failed for {path}	{path} に対するシステムのオープンコマンドが失敗しました
System preview is not supported on this platform	このプラットフォームではシステムプレビューをサポートしていません
This task is already next in queue.	このタスクはすでにキューの次です。
Use the darker glass palette inspired by the new dashboard reference.	新しいダッシュボード参考デザインに基づく、より濃いガラス調パレットを使用します。
Use this password for encrypted ZIP and 7Z archives. If preview fails first, enter the password here and refresh.	暗号化された ZIP / 7Z 書庫にはこのパスワードを使用します。先にプレビューが失敗した場合は、ここにパスワードを入力して再読み込みしてください。
Very low (< 8 MB, direct write)	非常に低い（< 8 MB、直接書き込み）
XZ (limited parallel workers)	XZ（並列ワーカー数に制限あり）
ZIP only encrypts file data. Archive contents can still be listed by name, but extracting file data requires the password.	ZIP はファイルデータのみを暗号化します。書庫内容のファイル名一覧は表示できますが、ファイルデータの展開にはパスワードが必要です。
Zstandard (parallel file workers)	Zstandard（並列ファイルワーカー）
Archive drop failed: {error}	書庫のドロップに失敗しました: {error}
Archive not found: {archive_path}	書庫が見つかりません: {archive_path}
Ask before overwrite	上書き前に確認
Resolve File Conflicts	同名ファイルの競合を処理
Conflict {current} of {total}	競合 {current} / {total}
Archive Entry	書庫内項目
Existing Path	既存のパス
New File Name	新しいファイル名
Apply this action to all remaining conflicts	この操作を残りすべての競合に適用
Overwrite	上書き
Skip	スキップ
Rename	名前変更
Overwrite cannot replace a folder destination.	上書きではフォルダーの宛先を置き換えられません。
Conflict resolution canceled.	競合の処理をキャンセルしました。
The new file name cannot be empty.	新しいファイル名は空にできません。
Enter a file name only, not a folder path.	フォルダーのパスではなく、ファイル名のみを入力してください。
The selected rename target already exists.	選択した名前変更先は既に存在します。
The selected rename target is already reserved by another extracted file.	選択した名前変更先は、別の展開ファイルにより既に予約されています。
Failed to inspect extraction conflicts: {error}	展開時の競合確認に失敗しました: {error}
Start with Windows	Windows 起動時に開始
Launch FastZIP automatically when you sign in to Windows.	Windows にサインインしたときに FastZIP を自動的に起動します。
Enabled	有効
Disabled	無効
Autostart enabled.	自動起動を有効にしました。
Autostart disabled.	自動起動を無効にしました。
Failed to update autostart: {error}	自動起動の更新に失敗しました: {error}
File Manager	ファイルマネージャー
Current Path	現在のパス
The current folder is empty.	現在のフォルダーは空です。
Folder path not found: {path}	フォルダーのパスが見つかりません: {path}
The selected path is not a folder: {path}	選択したパスはフォルダーではありません: {path}
Failed to open path: {error}	パスを開けませんでした: {error}
No files or folders are selected in the file manager.	ファイルマネージャーでファイルまたはフォルダーが選択されていません。
View Selected Files	選択したファイルを表示
Selected Files	選択したファイル
